source,pui,pmid,doi,title,year,journal,authors,pubtype,issn,volume,issue,pages
embase,2032463221,39620308,10.1002/jmv.70100,Serotype-Specific Dengue Virus IgG Assay Using EDIII-Based Recombinant Proteins and Its Application in an Endemic Population in Northeast Brazil,2024,Journal of Medical Virology,"Pereira, S.S.; Machado, R.R.G.; Farias, J.P.; Adreata-Santos, R.; Rodrigues-Jesus, M.J.; Fogaça, M.M.C.; Souza, M.S.; Martins, E.G.; Romano, C.M.; Durigon, E.L.; Amorim, J.H.; Ferreira, L.C.D.S.",Article,10969071,96,12,e70100
embase,2032561896,39660431,10.1002/jmv.70109,Tick-Borne Encephalitis Virus Surveillance—Vaccination- and Infection-Induced Seroprevalences in Western Austria 2024,2024,Journal of Medical Virology,"Siller, A.; Chitimia-Dobler, L.; Hitzl, W.; Astl, M.; Schennach, H.; Fraunberger, P.; Cadamuro, J.; Borde, J.P.; Willeit, P.; Dobler, G.; Mink, S.",Article,10969071,96,12,e70109
embase,2034061890,39134458,10.1089/vbz.2024.0009,Commercial Enzyme-Linked Immunosorbent Assay Kit Is Useful for Detection of Recombinant and Secretory Nonstructural-1 Protein Antigen of Dengue Virus,2024,Vector-Borne and Zoonotic Diseases,"Abraham, P.R.; Gopinath, T.; Dhotre, A.; Kumar, A.",Article,15577759,24,12,
embase,2036196153,,10.69605/ijlbpr_13.12.2024.20,"Determination of NS1, IgG and IgM profile during an outbreak of Dengue at Tertiary Care Teaching Hospital, Doda, Jammu & Kashmir",2024,International Journal of Life Sciences Biotechnology and Pharma Research,"Akhtar, S.; Singh, L.; Kamaljeet,; Kumawat, S.; Thalquotra, M.",Article,22503137,13,12,
embase,2036550413,39513713,10.1128/jvi.01418-24,"Dengue virus NS1 leads to downregulation of HNF4 alpha in liver cells resulting in a decrease in coagulation factors I, V, X, and XIII, contributing to coagulopathy",2024,Journal of Virology,"Das, S.; Mallik, Md.H.; Chattopadyay, P.; Mallick, S.; Karmakar, D.; Ghora, S.; Begum, F.; Chatterjee, B.; Thagriki, D.S.; Srivastava, A.K.; Ray, U.",Article,10985514,98,12,e0141824
embase,2040288867,,10.69605/ijlbpr_13.12.2024.199,A Clinico-microbiological study of dengue fever cases,2024,International Journal of Life Sciences Biotechnology and Pharma Research,"Kumar, M.; Ranweer,; Agarwal, S.; Meena, M.K.",Article,22503137,13,12,
embase,NCT06697041,,,Clinical and Laboratory Factors for the Progression of Severe Dengue Among Hospitalized Patients During an Upsurge,2024,clinicaltrials.gov,,Clinical Trial,,,,
embase,2035726381,39082780,10.1093/infdis/jiae384,The Impact of Zika Emergence in Remote Communities in Northwestern Ecuador,2024,Journal of Infectious Diseases,"Andrade, P.; Sosa-Moreno, A.; Vivero, S.; Nipaz, V.; Lee, G.O.; Cevallos, W.; Eisenberg, J.N.S.; Coloma, J.",Article,15376613,230,5,
embase,2032004584,,10.53555/evwnvn98,"DENGUE FEVER TRENDS AND CLINICAL VARIABILITY: A PROSPECTIVE OBSERVATIONAL STUDY FROM AYUB TEACHING HOSPITAL, ABBOTTABAD",2024,Journal of Population Therapeutics and Clinical Pharmacology,"Zeb, A.; Fazleamin,; Rahman, S.U.; Farooq, S.; Noor, A.; Ali, R.; Jamshed, M.; Irfan, A.; Umar, Z.; Hassan, T.",Article,25618741,31,11,
embase,2034684549,39306188,10.1016/j.tmaid.2024.102762,"Dengue fever as autochthonous infectious disease in Italy: Epidemiological, clinical and virological characteristics",2024,Travel Medicine and Infectious Disease,"Vita, S.; Lalle, E.; Caputi, P.; Faraglia, F.; D'Abramo, A.; Bordi, L.; De Carli, G.; Sberna, G.; Giancola, M.L.; Maffongelli, G.; Mija, C.; Antinori, A.; Cicalini, S.; Maggi, F.; Girardi, E.; Vairo, F.; Nicastri, E.",Article,18730442,62,,102762
embase,2035222845,39454515,10.1016/j.ebiom.2024.105409,Yellow fever disease severity and endothelial dysfunction are associated with elevated serum levels of viral NS1 protein and syndecan-1,2024,eBioMedicine,"de Sousa, F.T.G.; Warnes, C.M.; Manuli, E.R.; Tjang, L.V.; Carneiro, P.H.; Maria de Oliveira Pinto, L.; Ng, A.; Bhat, S.; Zambrana, J.V.; D'Elia Zanella, L.G.F.A.B.; Ho, Y.-L.; Romano, C.M.; Beatty, P.R.; Biering, S.B.; Kallas, E.G.; Sabino, E.C.; Harris, E.",Article,23523964,109,,105409
embase,2035281505,39461453,10.1016/j.tmaid.2024.102782,A case report on symptomatic disease caused by serotype 4 vaccine virus following tetravalent anti-dengue vaccination,2024,Travel Medicine and Infectious Disease,"Oliveira, R.D.D.; Santos, A.D.S.; Gonçalves, C.C.M.; Giovanetti, M.; Alcantara, L.C.J.; Demarchi, L.H.F.; Lichs, G.G.D.C.; Ilis, T.M.; Hiane, S.T.; Abbud, A.; Sacchi, C.T.; Naveca, F.G.; Santos, D.D.S.; Marques, E.M.M.; Lucena Junior, W.P.D.; Croda, J.",Letter,18730442,62,,102782
embase,2035377878,39194193,10.1128/jcm.00593-24,Comparison of the sensitivity and specificityof commercial anti-dengue virus IgG tests to identify persons eligible for dengue vaccination,2024,Journal of Clinical Microbiology,"Medina, F.A.; Vila, F.; Adams, L.E.; Cardona, J.; Carrion, J.; Lamirande, E.; Acosta, L.N.; De León-Rodríguez, C.M.; Beltran, M.; Grau, D.; Rivera-Amill, V.; Balmaseda, A.; Harris, E.; Madewell, Z.J.; Waterman, S.H.; Paz-Bailey, G.; Whitehead, S.; Muñoz-Jordán, J.L.",Article,1098660X,62,10,e0059324
embase,2034988556,,10.1101/2024.09.10.24313257,"Development of a cost-effective multiplex quantitative RT-PCR assay for early detection and surveillance of Dengue, Chikungunya, and co-infections from clinical samples in low-resource settings",2024,medRxiv,"Uppoor, S.; Walaskar, S.; Majji, R.; Deepanraj, S.P.; Thrilok Chandra, K.V.; Madhusudan, H.N.; Balasundar, A.S.; Mishra, R.K.; Ishtiaq, F.; Malik, M.R.",Preprint,,,,
embase,2030522735,38980575,10.1007/s40291-024-00728-8,Identification of Immunodominant Epitopes of Dengue Virus 2 Envelope and NS1 Proteins: Evaluating the Diagnostic Potential of a Synthetic Peptide,2024,Molecular Diagnosis and Therapy,"Singha, S.; Nath, N.; Sarma, V.; Barman, K.; Sharma, G.C.; Saikia, L.; Baruah, S.",Article,11792000,28,5,
embase,2031565870,,10.3390/pathogens13090818,Performance of Fujifilm Dengue NS1 Antigen Rapid Diagnosis Kit Compared to Quantitative Real-Time Polymerase Chain Reaction,2024,Pathogens,"Ngwe Tun, M.M.; Kapandji, M.; Wada, A.; Yamamoto, K.; Dumre, S.P.; Nwe, K.M.; Lin, H.; Takamatsu, Y.; Thant, K.Z.; Thu, H.M.; Urano, T.; Pandey, B.D.; Morita, K.",Article,20760817,13,9,818
embase,2033064404,38942174,10.1016/j.jviromet.2024.114991,Diagnostic accuracy of Dengue NS1 lateral flow immunoassay in comparison to reverse transcriptase polymerase chain reaction and enzyme linked Immunosorbent Assay,2024,Journal of Virological Methods,"Sukumaran, A.; Arun Krishnan, R.; Kulathil, D.M.; Haritha, P.R.; Varun, T.N.; Edwin, B.T.; Sarath, K.V.; Paul, J.K.; Satheesh Kumar, C.S.; Vasudevan, D.M.",Article,18790984,329,,114991
embase,2035020134,,10.22159/ijcpr.2024v16i5.5086,"A STUDY OF DIAGNOSTIC APPLICABILITY OF NS1 AND IGM ELISA IN DENGUE FEVER IN A TERTIARY CARE HOSPITAL, VISAKHAPATNAM",2024,International Journal of Current Pharmaceutical Research,"Kausar, S.T.; Vani, T.M.S.S.S.; Kumari, P.R.",Article,09757066,16,5,
embase,2034178802,39145933,10.1073/pnas.2403235121,Zika virus NS5 protein inhibits type I interferon signaling via CRL3 E3 ubiquitin ligase-mediated degradation of STAT2,2024,Proceedings of the National Academy of Sciences of the United States of America,"Ren, W.; Fu, C.; Zhang, Y.; Ju, X.; Jiang, X.; Song, J.; Gong, M.; Li, Z.; Fan, W.; Yao, J.; Ding, Q.",Article,10916490,121,34,e2403235121
embase,2030670578,,10.53555/jptcp.v31i8.7334,A COMPARATIVE STUDY BETWEEN PRIMARY & SECONDARY DENGUE CASES IN A TERTIARY CARE HOSPITAL IN WEST BENGAL.,2024,Journal of Population Therapeutics and Clinical Pharmacology,"Laloo, F.D.; Bhaduri, A.; Kharkrang, S.; Bose, S.",Article,25618741,31,8,
embase,2031127037,39205228,10.3390/v16081253,Aedes aegypti Mosquito Probing Enhances Dengue Virus Infection of Resident Myeloid Cells in Human Skin,2024,Viruses,"Castanha, P.M.S.; Azar, S.R.; Yeung, J.; Wallace, M.; Kettenburg, G.; Watkins, S.C.; Marques, E.T.A.; Vasilakis, N.; Barratt-Boyes, S.M.",Article,19994915,16,8,1253
embase,2033350762,38806045,10.4269/ajtmh.23-0549,"IgG, IgM, and Nonstructural Protein 1 Response Profiles after Receipt of Tetravalent Dengue Vaccine TAK-003 in a Phase 2 Randomized Controlled Trial",2024,American Journal of Tropical Medicine and Hygiene,"Low, J.G.; Oh, H.M.; Leo, Y.-S.; Kalimuddin, S.; Wijaya, L.; Pang, J.; Lee, T.H.; Moss, K.J.; Brose, M.; Tricou, V.",Article,14761645,111,1,
embase,2034296166,,10.5530/pj.2024.16.149,Positive NS1 Antigen in Non-Dengue Virus Infection Serum: Possible Reasons for the Discrepancy with DENV PCR Results,2024,Pharmacognosy Journal ,"Sunari, I.G.A.A.E.P.; Aryati, A.; Hakim, F.K.N.; Tanzilia, M.F.; Parwati, I.; Yaswir, R.; Mulyono, B.",Article,09753575,16,4,
embase,2031169158,38518559,10.1016/j.bios.2024.116218,Urinary dengue NS1 detection on Au-decorated ZnO nanowire platform,2024,Biosensors and Bioelectronics,"Sitthisuwannakul, K.; Sukthai, R.; Zhu, Z.; Nagashima, K.; Chattrairat, K.; Phanthanawiboon, S.; Klamchuen, A.; Rahong, S.; Baba, Y.; Yasui, T.",Article,18734235,254,,116218
embase,2030048468,38818789,10.1002/jmv.29689,Dengue virus transmission risk in blood donation: Evidence from Thailand,2024,Journal of Medical Virology,"Limothai, U.; Tachaboon, S.; Dinhuzen, J.; Singh, J.; Leewongworasingh, A.; Watanaboonyongcharoen, P.; Fernandez, S.; Hunsawong, T.; Farmer, A.R.; Tantawichien, T.; Thisyakorn, U.; Srisawat, N.",Article,10969071,96,6,e29689
embase,2031098346,38503028,10.1016/j.diagmicrobio.2024.116227,Systematic review and meta-analysis: assessing the accuracy of rapid immunochromatographic tests in dengue diagnosis,2024,Diagnostic Microbiology and Infectious Disease,"Macêdo, J.V.L.; Júnior, A.G.S.; Oliveira, M.D.L.; Andrade, C.A.S.",Review,18790070,109,2,116227
embase,2032645571,,10.1101/2024.05.07.24306978,A low pre-existing anti-NS1 humoral immunity to DENV is associated with microcephaly development after gestational ZIKV exposure,2024,medRxiv,"Castro-Trujillo, S.; Mejía, W.R.; Segura, K.; Vega, R.; Salgado, D.; Fonseca, C.E.; Ortiz, Á.M.; Perdomo-Celis, F.; Bosch, I.; Narváez, C.F.",Preprint,,,,
embase,2029949483,38793670,10.3390/v16050788,Comparison of Five Serological Methods for the Detection of West Nile Virus Antibodies,2024,Viruses,"Girl, P.; Euringer, K.; Coroian, M.; Mihalca, A.D.; Borde, J.P.; Dobler, G.",Article,19994915,16,5,788
embase,2032375574,38591880,10.1128/jvi.00116-24,Japanese encephalitis virus NS1 and NS1′ protein disrupts the blood-brain barrier through macrophage migration inhibitory factor-mediated autophagy,2024,Journal of Virology,"Zhang, L.; Nan, X.; Zhou, D.; Wang, X.; Zhu, S.; Li, Q.; Jia, F.; Zhu, B.; Si, Y.; Cao, S.; Ye, J.",Article,10985514,98,5,
embase,649858520,,10.1007/s13337-024-00867-w,Seroprevalence of dengue and chikungunya in tertiary care hospital in Maharashtra,2024,VirusDisease,"Patwardhan, M.; Kulkarni, V.A.; Joshi, P.A.; Kale, C.",Conference Abstract,23473584,35,,
embase,649858595,,10.1007/s13337-024-00867-w,Development of immunofluorescence-based nano diagnostic assay as point-of-care for the detection of dengue virus,2024,VirusDisease,"Athira, A.P.; Kini, S.; Krishna Kumar, B.; Shama Prakasha, K.; Rai, P.",Conference Abstract,23473584,35,,
embase,646638101,39977056,10.21149/15407,Evolution of Zika prevalence in a dengue hyperendemic municipality in Southern Mexico after the outbreak of 2015 to 2017,2024,Salud publica de Mexico,"Gaspar-Castillo, C.; Cortes-Escamilla, A.; Aparicio-Antonio, R.; Carnalla, M.; López, S.; Sánchez-Tacuba, L.; Oceguera-Cabrera, A.; Burrone, Ó.; González-Bonilla, C.; Ortiz Navarrete, V.; Martínez-Barnetche, J.; Rodríguez, M.H.; Alpuche-Aranda, C.M.",Article,16067916,66,3 mayjun,
embase,2032068796,,10.1101/2024.04.19.24306097,Comparison of the Sensitivity and Specificity of Commercial Anti-Dengue Virus IgG Tests to Identify Persons Eligible for Dengue Vaccination,2024,medRxiv,"Medina, F.A.; Vila, F.; Adams, L.E.; Cardona, J.; Carrion, J.; Lamirande, E.; Acosta, L.N.; De León-Rodríguez, C.M.; Beltran, M.; Grau, D.; Rivera-Amill, V.; Balmaseda, A.; Harris, E.; Madewell, Z.J.; Waterman, S.H.; Paz-Bailey, G.; Whitehead, S.; Muñoz-Jordán, J.L.",Preprint,,,,
embase,2031419716,38573991,10.1371/journal.pone.0301644,"Molecular identification and phylogenetic analysis of chikungunya virus among denguenegative patients in Kolkata, India",2024,PLoS ONE,"Chatterjee, R.P.; Chatterjee, A.; Ansari, S.; Chatterjee, S.; Chatterjee, S.; Chakraborty, N.",Article,19326203,19,4 April,e0301644
embase,643653507,38436801,10.1007/s00604-024-06259-7,Point-of-care dengue detection: polydopamine-modified electrode for rapid NS1 protein testing for clinical samples,2024,Mikrochimica acta,"Muttaqien, S.E.; Khoris, I.M.; Suryanggono, J.; Sadhukhan, P.C.; Pambudi, S.; Chowdhury, A.D.; Park, E.Y.",Article,14365073,191,4,
embase,2028980449,38483048,10.1002/jmv.29533,UMP-CMP kinase 2 inhibits ZIKV replication through activation of type I IFN signaling pathway,2024,Journal of Medical Virology,"Zhu, Y.; Tan, Q.; Shi, Y.; Li, Q.; Li, S.; Wen, W.; Xie, H.; Li, B.; Duan, X.; Chen, L.",Article,10969071,96,3,e29533
embase,2031199094,38411948,10.1128/jvi.01859-23,Japanese encephalitis virus inhibits superinfection of Zika virus in cells by the NS2B protein,2024,Journal of Virology,"Yuan, H.; Rao, J.; Zhang, J.; Ye, J.; Cao, S.; Chen, H.; Song, Y.",Article,10985514,98,3,
embase,2031227161,,10.7860/JCDR/2024/68904.19162,Navigating the Haematological Maze: Unraveling the Role of NLR and PLR as Predictors of Dengue Severity- A Cross-sectional Study from Southern India,2024,Journal of Clinical and Diagnostic Research,"Navya, P.T.; Begum, R.; Thajudeen, A.S.; Hussain, M.A.; Vijayashree, R.",Article,0973709X,18,3,
embase,2030001422,38272051,10.1016/S0140-6736(23)02803-9,Dengue epidemic in Burkina Faso: how can the response improve?,2024,The Lancet,"Manigart, O.; Ouedraogo, I.; Ouedraogo, H.S.; Sow, A.; Lokossou, V.K.",Letter,1474547X,403,10425,
embase,2028663416,38400061,10.3390/v16020286,Multiplex Serology for Sensitive and Specific Flavivirus IgG Detection: Addition of Envelope Protein Domain III to NS1 Increases Sensitivity for Tick-Borne Encephalitis Virus IgG Detection,2024,Viruses,"Valle, C.; Shrestha, S.; Godeke, G.-J.; Hoogerwerf, M.N.; Reimerink, J.; Eggink, D.; Reusken, C.",Article,19994915,16,2,286
embase,2029914073,37930223,10.1097/INF.0000000000004156,"Frequency, Markers and Costs of Secondary Bacterial Infection in Pediatric Dengue",2024,Pediatric Infectious Disease Journal,"Salgado, D.; Silva, J.M.; Salcedo, A.; Losada, P.X.; Niño, A.P.; Molano, M.; Bermeo, J.M.; Restrepo, R.; Perdomo-Celis, F.; Narváez, C.F.; Toro, J.F.",Article,15320987,43,2,
embase,2029914088,37963312,10.1097/INF.0000000000004163,NS1-Specific Antibody Response Facilitates the Identification of Children with Dengue and Zika in Hyperendemic Areas,2024,Pediatric Infectious Disease Journal,"Castro-Trujillo, S.; Segura, K.; Bolívar-Marín, S.; Salgado, D.M.; Bosch, I.; Vega, R.; Rojas, M.C.; Narváez, C.F.",Article,15320987,43,2,
embase,643377935,38291109,10.1038/s41598-024-52123-2,Development of a quantitative NS1 antigen enzyme-linked immunosorbent assay (ELISA) for Zika virus detection using a novel virus-specific mAb,2024,Scientific reports,"Morales, S.V.; Coelho, G.M.; Ricciardi-Jorge, T.; Dorl, G.G.; Zanluca, C.; Duarte Dos Santos, C.N.",Article,20452322,14,1,
embase,643490041,38345251,10.3791/66130,Portable Paper-Based Immunoassay Combined with Smartphone Application for Colorimetric and Quantitative Detection of Dengue NS1 Antigen,2024,Journal of visualized experiments : JoVE,"Prabowo, M.H.; Chalermwatanachai, T.; Surareungchai, W.; Rijiravanich, P.",Article,1940087X,,203,
embase,NCT06255509,,,"Dengue Virus Infection Amongst Patients With Acute Febrile Illness: Clinical Characteristics, Molecular and Serological Profiles for Vaccine Trial and Roll-out",2024,clinicaltrials.gov,,Clinical Trial,,,,
embase,2028017722,39492367,10.1016/j.ijmmb.2023.100487,Rebuttal to correspondence for “Prospective study to compare results of FIA (fluorescent immunoassay) test with gold standard ELISA test in Dengue NS1 patients admitted in a tertiary care hospital”,2024,Indian Journal of Medical Microbiology,"Kulkarni, P.; Taklikar, S.; Turbadkar, D.",Letter,19983646,47,,100487
embase,2028106780,38257751,10.3390/v16010050,Diagnosis of Imported Dengue and Zika Virus Infections in Italy from November 2015 to November 2022: Laboratory Surveillance Data from a National Reference Laboratory,2024,Viruses,"Merakou, C.; Amendola, A.; Fortuna, C.; Marsili, G.; Fiorentini, C.; Argentini, C.; Benedetti, E.; Rezza, G.; Maraglino, F.; Del Manso, M.; Bella, A.; Pezzotti, P.; Riccardo, F.; Palamara, A.T.; Venturi, G.",Article,19994915,16,1,50
embase,2028261522,,,Advances in Diagnostic Technologies for Early Detection of Dengue Virus,2024,International Journal of Pharmaceutical and Clinical Research,"Kumar, A.; Nandan, P.",Article,09751556,16,2,
embase,2028282080,38381897,10.1590/S1678-9946202466012,A spatial case-control study on symptomatic and inapparent primary dengue infections in an endemic city in Brazil,2024,Revista do Instituto de Medicina Tropical de Sao Paulo,"Figueiredo, G.; Chiaravalloti, F.; Campos, S.; Pellini, A.G.; Felix, A.C.; Luna, E.",Article,16789946,66,,e12
embase,2029395522,,10.5530/ijmedph.2024.1.56,"SEROPREVALENCE OF DENGUE IN PATIENTS ATTENDING TERTIARY CARE HOSPITAL, NIZAMABAD, A CROSS-SECTIONAL STUDY",2024,International Journal of Medicine and Public Health,"Kumar, R.S.; Moqueeth, S.A.; Darahasa, K.; Ramya, T.",Article,22308598,14,1,
embase,2029435499,,,Diagnosis of Dengue by NS1 Antigen Detection and Reverse Transcriptase PCR Assay,2024,International Journal of Pharmaceutical and Clinical Research,"Rana, S.K.; Jain, D.; Kumar, D.; Simar, H.",Article,09751556,16,5,
embase,2029494785,,10.2147/JMDH.S459929,Aspartate Aminotransferase-to-Platelet Ratio Index (APRI) as a Novel Score in Early Detection of Complicated Dengue Fever,2024,Journal of Multidisciplinary Healthcare,"Jamil, Z.; Khalid, S.; Khan, H.M.M.H.; Waheed, I.; Ehsan, A.; Alissa, M.; Muhammad, K.; Munawar, N.; Waheed, Y.",Article,11782390,17,,
embase,2029718942,,10.1177/20503121241229847,Neuroinvasion of emerging and re-emerging arboviruses: A scoping review,2024,SAGE Open Medicine,"Srichawla, B.S.; Manan, M.R.; Kipkorir, V.; Dhali, A.; Diebel, S.; Sawant, T.; Zia, S.; Carrion-Alvarez, D.; Suteja, R.C.; Nurani, K.; Găman, M.-A.",Review,20503121,12,,
embase,2030321521,37967518,10.3201/eid3001.231508,"Autochthonous Dengue Fever in 2 Patients, Rome, Italy",2024,Emerging Infectious Diseases,"Vita, S.; Bordi, L.; Sberna, G.; Caputi, P.; Lapa, D.; Corpolongo, A.; Mija, C.; D’Abramo, A.; Maggi, F.; Vairo, F.; Specchiarello, E.; Girardi, E.; Lalle, E.; Nicastri, E.",Article,10806059,30,1,
embase,2030724646,,,Prevalence of Dengue Fever and its Seasonal Trend in Tertiary Care Hospital in Western Maharashtra,2024,International Journal of Pharmaceutical and Clinical Research,"Pandey, D.K.; Khan, N.; Chatterjee, N.; Set, R.",Article,09751556,16,8,
embase,2030888086,,10.2147/IJGM.S475450,TaqMan qPCR and IgM Detection in Samples of Patients with Tick-Borne Encephalitis Virus Infection in Northeast China,2024,International Journal of General Medicine,"Yu, M.; Fu, X.; Zhu, Y.; Li, M.; Wu, M.; Zhou, E.; Dong, H.; Wang, L.; Wang, R.; Liu, F.; Jiang, C.; Kong, X.; Su, W.",Article,11787074,17,,
embase,2032177645,38722305,10.1099/jmm.0.001833,Dengue: A review of laboratory diagnostics in the vaccine age,2024,Journal of Medical Microbiology,"Frazer, J.L.; Norton, R.",Article,14735644,73,5,
embase,2032200104,,,Prognostic Significance of Aminotransferase Levels in Dengue: A Hospital-Based Study on AST and ALT as Markers of Disease Severity,2024,International Journal of Pharmaceutical and Clinical Research ,"Sharma, R.; Bajaj, V.; Maniram, R.S.; Dube, S.",Article,09751556,16,11,
embase,2033480375,,10.1016/j.idcr.2024.e02032,"Understanding dengue outbreaks in Rajshahi district, Bangladesh: A comprehensive case study",2024,IDCases,"Mehedi Hasan Sumon, M.; Jubair, M.; Tony, S.R.; Johorul Islam, M.; Paul, D.K.; Shaharia, M.A.; Faisal Alam, K.M.; Rahman, M.; Biswas, S.K.",Article,22142509,37,,e02032
embase,2034063216,,10.1155/2024/5588127,Support Vector Machine Outperforms Other Machine Learning Models in Early Diagnosis of Dengue Using Routine Clinical Data,2024,Advances in Virology,"Qaiser, A.; Manzoor, S.; Hashmi, A.H.; Javed, H.; Zafar, A.; Ashraf, J.",Article,16878647,2024,1,5588127
embase,2034435586,,10.48047/jcdr.2024.15.07.174,Correlation of IgM seropositivity in dengue NS1Ag positive samples of patient from rural population,2024,Journal of Cardiovascular Disease Research,"Singh, S.; Rajgopal, S.K.; Sharma, A.; Rawat, P.",Article,09762833,15,7,
embase,2035436148,,,Dengue Virus Infection: Clinico-Epidemiological Characteristics and the Role of Serum Ferritin as a Biomarker,2024,International Journal of Toxicological and Pharmacological Research,"Kumar, R.; Nirmal, A.K.; Chaudhary, R.K.",Article,09755160,14,11,
embase,2035529671,,10.36478/makrjms.2024.12.151.155,Early Detection of Dengue Fever on Day One Using Clinical Criteria and NS1 Antigen Microelisa: A Comparative Study with Immunochromatography,2024,Research Journal of Medical Sciences,"Sreelatha, P.; Shyam Sunder Rao, P.; Nageshwar Rao, B.",Article,19936095,18,12,
embase,2023065420,37138273,10.1186/s12906-023-03971-4,Investigation of the activity of baicalein towards Zika virus,2023,BMC Complementary Medicine and Therapies,"Sawadpongpan, S.; Jaratsittisin, J.; Hitakarun, A.; Roytrakul, S.; Wikan, N.; Smith, D.R.",Article,26627671,23,1,143
embase,2027244171,38113250,10.1371/journal.pntd.0011839,Comparison of clinical and laboratory characteristics between severe and non-severe dengue in paediatrics,2023,PLoS Neglected Tropical Diseases,"Idrus, N.L.; Jamalid, S.M.; Bakar, A.A.; Embong, H.; Ahmad, N.S.",Article,19352735,2023-December,,e0011839
embase,643426023,,,A STUDY ON CLINICAL CHARACTERISTICS AND SHORT TERM DIVERSE OUTCOMES OF ACUTE KIDNEY INJURY DUE TO TROPICAL INFECTIOUS DISEASES IN A TERTIARY CARE CENTRE FROM SOUTH INDIA,2023,Indian Journal of Nephrology,"Desai, R.J.; Shetty, B.C.; Prabhu, M.V.; Kumar, S.B.; Ashok Bhat, M.; Darshan, V.; Karina, B.; Sharma, R.",Conference Abstract,19983662,33,,
embase,2026017878,37506573,10.1016/j.phymed.2023.154977,Liang-Ge-San inhibits dengue virus serotype 2 infection by reducing caveolin1-induced cytoplasmic heat shock protein 70 translocation into the plasma membrane,2023,Phytomedicine,"Chen, X.; Yang, J.-B.; Cao, H.-H.; Fang, X.-C.; Liu, S.-H.; Zou, L.-F.; Yu, J.-H.; Zuo, J.-P.; Zhao, W.; Lu, Z.-B.; Liu, J.-S.; Yu, L.-Z.",Article,1618095X,119,,154977
embase,2028347458,37702492,10.1128/mbio.01441-23,Dengue virus NS1 secretion is regulated via importin-subunit β1 controlling expression of the chaperone GRp78 and targeted by the clinical drug ivermectin,2023,mBio,"Denolly, S.; Guo, H.; Martens, M.; Płaszczyca, A.; Scaturro, P.; Prasad, V.; Kongmanas, K.; Punyadee, N.; Songjaeng, A.; Mairiang, D.; Pichlmair, A.; Avirutnan, P.; Bartenschlager, R.",Article,21507511,14,5,
embase,2039491585,,,Comparison of Seroprevalence and Clinical Profile of Dengue Among Rural and Urban Populations: A Joint Study of Serology and Epidemiological Patterns,2023,International Journal of Life Sciences Biotechnology and Pharma Research,"Dhirubhai, P.C.; Goyal, R.; Prabhakar, M.C.; Dhaivat, M.M.",Article,22503137,12,4,
embase,641895413,37499611,10.1016/j.psj.2023.102926,Linear epitope identification of monoclonal antibodies against the duck Tembusu virus NS1,2023,Poultry science,"Tan, H.; Zhang, S.; Tan, W.; Hu, T.; He, Y.; Wu, Z.; Wang, M.; Jia, R.; Zhu, D.; Liu, M.; Zhao, X.; Yang, Q.; Wu, Y.; Zhang, S.; Huang, J.; Ou, X.; Gao, Q.; Sun, D.; Cheng, A.; Chen, S.",Article,15253171,102,10,
embase,643422206,38313186,10.25122/jml-2022-0300,Non-structural protein 1 and hematology parameters as predictors of dengue virus infection severity in Indonesia,2023,Journal of medicine and life,"Sunari, I.G.A.A.E.P.; Aryati, A.; Hakim, F.K.N.; Tanzilia, M.F.; Zuroidah, N.; Wrahatnala, B.J.; Rohman, A.; Wardhani, P.; Husada, D.; Miftahussurur, M.",Article,18443117,16,10,
embase,2024623409,,10.1007/s13337-023-00831-0,Utility of CDC DENV1–4 real time PCR assay and trioplex assay for the diagnosis of dengue in patients with acute febrile illness,2023,VirusDisease,"Sarkar, S.; Bora, I.; Gupta, P.; Sapkal, G.; Shethi, S.; Kaur, K.; Ratho, R.K.",Article,23473517,34,3,
embase,2025007339,37573050,10.1016/j.ijmmb.2023.100376,Prospective study to compare results of FIA (fluorescent immunoassay) test with gold standard ELISA test in Dengue NS1 patients admitted in a tertiary care hospital,2023,Indian Journal of Medical Microbiology,"Kulkarni, P.; Taklikar, S.; Turbadkar, D.",Article,19983646,45,,100376
embase,2025691658,37766300,10.3390/v15091894,Advanced Detection Method for Dengue NS1 Protein Using Ultrasensitive ELISA with Thio-NAD Cycling,2023,Viruses,"Chen, P.-K.; Chang, J.-H.; Ke, L.-Y.; Kao, J.-K.; Chen, C.-H.; Yang, R.-C.; Yoshimura, T.; Ito, E.; Tsai, J.-J.",Article,19994915,15,9,1894
embase,2025691801,37766342,10.3390/v15091936,Multi-epitope Antigen for Specific Serological Detection of Dengue Viruses,2023,Viruses,"Pereira, S.S.; Andreata-Santos, R.; de Castro-Amarante, M.F.; Venceslau-Carvalho, A.A.; Sales, N.S.; Silva, M.D.O.; Alves, R.P.D.S.; Jungmann, P.; Ferreira, L.C.D.S.",Article,19994915,15,9,1936
embase,641770555,37427537,10.1039/d3nr01858j,Development of a thermochromic lateral flow assay to improve sensitivity for dengue virus serotype 2 NS1 detection,2023,Nanoscale,"Trakoolwilaiwan, T.; Takeuchi, Y.; Leung, T.S.; Sebek, M.; Storozhuk, L.; Nguyen, L.; Tung, L.D.; Thanh, N.T.K.",Article,20403372,15,31,
embase,2027216581,,,Sero-epidemiological evaluation of dengue-chikungunya coinfections: A study from capital city of Uttarakhand,2023,Journal of Pharmaceutical Sciences and Research,"Kumar, M.; Singh, M.; Singhal, S.; Negi, N.; Rawat, Y.; Thaledi, S.; Pal, S.",Article,09751459,15,8,
